Bacteria1,Bacteria2,Distance
Enterobacter gergoviae,Mycoplasma pneumoniae,0.3032
Enterobacter gergoviae,Gardnerella vaginalis,0.2546
Enterobacter gergoviae,Campylobacter spp,0.26
Enterobacter gergoviae,Legionella pneumophila,0.1578
Enterobacter gergoviae,Clostridium septicum,0.262
Enterobacter gergoviae,Clostridium perfringens,0.2662
Enterobacter gergoviae,C. trachomatis,0.2605
Enterobacter gergoviae,Prevotella bivia,0.2634
Enterobacter gergoviae,Streptococcus pyogenes,0.2385
Enterobacter gergoviae,Neisseria meningitidis,0.2082
Enterobacter gergoviae,S. ParatyphiA,0.1949
Enterobacter gergoviae,S.Typhi,0.1949
Enterobacter gergoviae,Klebsiella pneumoniae,0.187
Enterobacter gergoviae,E. coli,0.1993
Enterobacter gergoviae,Neisseria gonorrhoeae,0.2015
Enterobacter gergoviae,Staphylococcus aureus,0.2211
Enterobacter gergoviae,Brucella melitensis,0.2167
Enterobacter gergoviae,Brucella abortus,0.2167
Enterobacter gergoviae,Moraxella catarrhalis,0.164
Enterobacter gergoviae,Haemophilus influenzae,0.1512
Enterobacter gergoviae,Streptococcus pneumoniae,0.2423
Enterobacter gergoviae,V. cholerae,0.1686
Mycobacterium fortuitum,Mycobacterium fortuitum,0
Mycobacterium fortuitum,Enterobacter agglomerans,0.2404
Mycobacterium fortuitum,Enterobacter gergoviae,0.2395
Mycobacterium fortuitum,M. abscessus,0.2259
Mycobacterium fortuitum,Staphylococcus intermedius,0.2114
Mycobacterium fortuitum,Streptococcus constellatus,0.221
Mycobacterium fortuitum,Streptococcus anginosus,0.2258
Mycobacterium fortuitum,Streptobacillus moniliformis,0.2342
Mycobacterium fortuitum,Spirillum minus,0.2342
Mycobacterium fortuitum,Capnocytophaga canimorsus,0.2479
Mycobacterium fortuitum,Pasteurella multocida,0.2472
Mycobacterium fortuitum,Ureaplasma urealyticum,0.275
Mycobacterium fortuitum,Cutibacterium acnes,0.211
Mycobacterium fortuitum,Listeria monocytogenes,0.2076
Mycobacterium fortuitum,Enterococcus faecium,0.2134
Mycobacterium fortuitum,Stenotrophomonas maltophilia,0.2661
Mycobacterium fortuitum,Enterobacter aerogenes,0.2411
Mycobacterium fortuitum,E. cloacae,0.2404
Mycobacterium fortuitum,Acinetobacter baumannii,0.242
Mycobacterium fortuitum,Streptococcus hemolyticus,0.2234
Mycobacterium fortuitum,Proteus mirabilis,0.237
Mycobacterium fortuitum,Burkholderia pseudomallei,0.2658
Mycobacterium fortuitum,C. difficile,0.2111
Mycobacterium fortuitum,Staphylococcus epidermidis,0.2192
Mycobacterium fortuitum,Pseudomonas aeruginosa,0.2563
Mycobacterium fortuitum,Streptococcus agalactiae,0.2218
Mycobacterium fortuitum,Morganella morganii,0.2377
Mycobacterium fortuitum,Kingella kingae,0.2195
Mycobacterium fortuitum,Eikenella corrodens,0.2455
Mycobacterium fortuitum,Cardiobacterium hominis,0.2405
Mycobacterium fortuitum,Aggregatibacter actinomycetemcomitans,0.2433
Mycobacterium fortuitum,Haemophilus parainfluenzae,0.2436
Mycobacterium fortuitum,Enterococcus faecalis,0.2187
Mycobacterium fortuitum,G Streptococcus,0.225
Mycobacterium fortuitum,Salmonella enterica,0.2396
Mycobacterium fortuitum,Shigella dysenteriae,0.2426
Mycobacterium fortuitum,Staphylococcus lugdunensis,0.2131
Mycobacterium fortuitum,Staphylococcus saprophyticus,0.2214
Mycobacterium fortuitum,Chlamydophila pneumoniae,0.2443
Mycobacterium fortuitum,Mycoplasma pneumoniae,0.2784
Mycobacterium fortuitum,Gardnerella vaginalis,0.2003
Mycobacterium fortuitum,Campylobacter spp,0.2444
Mycobacterium fortuitum,Legionella pneumophila,0.2277
Mycobacterium fortuitum,Clostridium septicum,0.2159
Mycobacterium fortuitum,Clostridium perfringens,0.2186
Mycobacterium fortuitum,C. trachomatis,0.2529
Mycobacterium fortuitum,Prevotella bivia,0.2555
Mycobacterium fortuitum,Streptococcus pyogenes,0.2234
Mycobacterium fortuitum,Neisseria meningitidis,0.2406
Mycobacterium fortuitum,S. ParatyphiA,0.2396
Mycobacterium fortuitum,S.Typhi,0.2396
Mycobacterium fortuitum,Klebsiella pneumoniae,0.2449
Mycobacterium fortuitum,E. coli,0.2414
Mycobacterium fortuitum,Neisseria gonorrhoeae,0.2427
Mycobacterium fortuitum,Staphylococcus aureus,0.2153
Mycobacterium fortuitum,Brucella melitensis,0.2221
Mycobacterium fortuitum,Brucella abortus,0.2221
Mycobacterium fortuitum,Moraxella catarrhalis,0.2381
Mycobacterium fortuitum,Haemophilus influenzae,0.2434
Mycobacterium fortuitum,Streptococcus pneumoniae,0.2207
Mycobacterium fortuitum,V. cholerae,0.2383
M. abscessus,M. abscessus,0
M. abscessus,Enterobacter agglomerans,0.2384
M. abscessus,Enterobacter gergoviae,0.2326
M. abscessus,Mycobacterium fortuitum,0.2259
M. abscessus,Staphylococcus intermedius,0.2136
M. abscessus,Streptococcus constellatus,0.2204
M. abscessus,Streptococcus anginosus,0.2239
M. abscessus,Streptobacillus moniliformis,0.2225
M. abscessus,Spirillum minus,0.2225
M. abscessus,Capnocytophaga canimorsus,0.2453
M. abscessus,Pasteurella multocida,0.24
M. abscessus,Ureaplasma urealyticum,0.2752
M. abscessus,Cutibacterium acnes,0.2174
M. abscessus,Listeria monocytogenes,0.2081
M. abscessus,Enterococcus faecium,0.2111
M. abscessus,Stenotrophomonas maltophilia,0.2725
M. abscessus,Enterobacter aerogenes,0.2337
M. abscessus,E. cloacae,0.233
M. abscessus,Acinetobacter baumannii,0.2329
M. abscessus,Streptococcus hemolyticus,0.2219
M. abscessus,Proteus mirabilis,0.2404
M. abscessus,Burkholderia pseudomallei,0.2446
M. abscessus,C. difficile,0.2016
M. abscessus,Staphylococcus epidermidis,0.2172
M. abscessus,Pseudomonas aeruginosa,0.2671
M. abscessus,Streptococcus agalactiae,0.2212
M. abscessus,Morganella morganii,0.2385
M. abscessus,Kingella kingae,0.2136
M. abscessus,Eikenella corrodens,0.2325
M. abscessus,Cardiobacterium hominis,0.2261
M. abscessus,Aggregatibacter actinomycetemcomitans,0.2448
M. abscessus,Haemophilus parainfluenzae,0.2364
M. abscessus,Enterococcus faecalis,0.2087
M. abscessus,G Streptococcus,0.2241
M. abscessus,Salmonella enterica,0.2324
M. abscessus,Shigella dysenteriae,0.2365
M. abscessus,Staphylococcus lugdunensis,0.2171
M. abscessus,Staphylococcus saprophyticus,0.2204
M. abscessus,Chlamydophila pneumoniae,0.2389
M. abscessus,Mycoplasma pneumoniae,0.2724
M. abscessus,Gardnerella vaginalis,0.1983
M. abscessus,Campylobacter spp,0.2395
M. abscessus,Legionella pneumophila,0.2187
M. abscessus,Clostridium septicum,0.2062
M. abscessus,Clostridium perfringens,0.2051
M. abscessus,C. trachomatis,0.2388
M. abscessus,Prevotella bivia,0.2532
M. abscessus,Streptococcus pyogenes,0.2219
M. abscessus,Neisseria meningitidis,0.2335
M. abscessus,S. ParatyphiA,0.2324
M. abscessus,S.Typhi,0.2324
M. abscessus,Klebsiella pneumoniae,0.2299
M. abscessus,E. coli,0.2338
M. abscessus,Neisseria gonorrhoeae,0.2359
M. abscessus,Staphylococcus aureus,0.2229
M. abscessus,Brucella melitensis,0.214
M. abscessus,Brucella abortus,0.214
M. abscessus,Moraxella catarrhalis,0.2261
M. abscessus,Haemophilus influenzae,0.2411
M. abscessus,Streptococcus pneumoniae,0.2221
M. abscessus,V. cholerae,0.2392
Staphylococcus intermedius,Staphylococcus intermedius,0
Staphylococcus intermedius,Enterobacter agglomerans,0.2441
Staphylococcus intermedius,Enterobacter gergoviae,0.2401
Staphylococcus intermedius,Mycobacterium fortuitum,0.2114
Staphylococcus intermedius,M. abscessus,0.2136
Staphylococcus intermedius,Streptococcus constellatus,0.1653
Staphylococcus intermedius,Streptococcus anginosus,0.1639
Staphylococcus intermedius,Streptobacillus moniliformis,0.2445
Staphylococcus intermedius,Spirillum minus,0.2445
Staphylococcus intermedius,Capnocytophaga canimorsus,0.1864
Staphylococcus intermedius,Pasteurella multocida,0.2585
Staphylococcus intermedius,Ureaplasma urealyticum,0.2617
Staphylococcus intermedius,Cutibacterium acnes,0.2282
Staphylococcus intermedius,Listeria monocytogenes,0.1372
Staphylococcus intermedius,Enterococcus faecium,0.1766
Staphylococcus intermedius,Stenotrophomonas maltophilia,0.2439
Staphylococcus intermedius,Enterobacter aerogenes,0.2386
Staphylococcus intermedius,E. cloacae,0.2391
Staphylococcus intermedius,Acinetobacter baumannii,0.2388
Staphylococcus intermedius,Streptococcus hemolyticus,0.1645
Staphylococcus intermedius,Proteus mirabilis,0.2507
Staphylococcus intermedius,Burkholderia pseudomallei,0.255
Staphylococcus intermedius,C. difficile,0.1976
Staphylococcus intermedius,Staphylococcus epidermidis,0.1784
Staphylococcus intermedius,Pseudomonas aeruginosa,0.2362
Staphylococcus intermedius,Streptococcus agalactiae,0.1695
Staphylococcus intermedius,Morganella morganii,0.2634
Staphylococcus intermedius,Kingella kingae,0.2394
Staphylococcus intermedius,Eikenella corrodens,0.2332
Staphylococcus intermedius,Cardiobacterium hominis,0.2389
Staphylococcus intermedius,Aggregatibacter actinomycetemcomitans,0.2588
Staphylococcus intermedius,Haemophilus parainfluenzae,0.2547
Staphylococcus intermedius,Enterococcus faecalis,0.1624
Staphylococcus intermedius,G Streptococcus,0.1579
Staphylococcus intermedius,Salmonella enterica,0.241
Staphylococcus intermedius,Shigella dysenteriae,0.2515
Staphylococcus intermedius,Staphylococcus lugdunensis,0.1931
Staphylococcus intermedius,Staphylococcus saprophyticus,0.183
Staphylococcus intermedius,Chlamydophila pneumoniae,0.277
Staphylococcus intermedius,Mycoplasma pneumoniae,0.2616
Staphylococcus intermedius,Gardnerella vaginalis,0.2394
Staphylococcus intermedius,Campylobacter spp,0.2517
Staphylococcus intermedius,Legionella pneumophila,0.2372
Staphylococcus intermedius,Clostridium septicum,0.2029
Staphylococcus intermedius,Clostridium perfringens,0.198
Staphylococcus intermedius,C. trachomatis,0.2774
Staphylococcus intermedius,Prevotella bivia,0.2724
Staphylococcus intermedius,Streptococcus pyogenes,0.1645
Staphylococcus intermedius,Neisseria meningitidis,0.2538
Staphylococcus intermedius,S. ParatyphiA,0.241
Staphylococcus intermedius,S.Typhi,0.241
Staphylococcus intermedius,Klebsiella pneumoniae,0.239
Staphylococcus intermedius,E. coli,0.2523
Staphylococcus intermedius,Neisseria gonorrhoeae,0.2532
Staphylococcus intermedius,Staphylococcus aureus,0.1785
Staphylococcus intermedius,Brucella melitensis,0.2093
Staphylococcus intermedius,Brucella abortus,0.214
Staphylococcus intermedius,Moraxella catarrhalis,0.2427
Staphylococcus intermedius,Haemophilus influenzae,0.2487
Staphylococcus intermedius,Streptococcus pneumoniae,0.1655
Staphylococcus intermedius,V. cholerae,0.2406
Streptococcus constellatus,Streptococcus constellatus,0
Streptococcus constellatus,Enterobacter agglomerans,0.2453
Streptococcus constellatus,Enterobacter gergoviae,0.2424
Streptococcus constellatus,Mycobacterium fortuitum,0.221
Streptococcus constellatus,M. abscessus,0.2204
Streptococcus constellatus,Staphylococcus intermedius,0.1653
Streptococcus constellatus,Streptococcus anginosus,0.1077
Streptococcus constellatus,Streptobacillus moniliformis,0.1939
Streptococcus constellatus,Spirillum minus,0.1939
Streptococcus constellatus,Capnocytophaga canimorsus,0.2181
Streptococcus constellatus,Pasteurella multocida,0.2549
Streptococcus constellatus,Ureaplasma urealyticum,0.2692
Streptococcus constellatus,Cutibacterium acnes,0.2254
Streptococcus constellatus,Listeria monocytogenes,0.154
Streptococcus constellatus,Enterococcus faecium,0.1615
Streptococcus constellatus,Stenotrophomonas maltophilia,0.2628
Streptococcus constellatus,Enterobacter aerogenes,0.2449
Streptococcus constellatus,E. cloacae,0.2406
Streptococcus constellatus,Acinetobacter baumannii,0.2345
Streptococcus constellatus,Streptococcus hemolyticus,0.1707
Streptococcus constellatus,Proteus mirabilis,0.2479
Streptococcus constellatus,Burkholderia pseudomallei,0.2508
Streptococcus constellatus,C. difficile,0.2091
Streptococcus constellatus,Staphylococcus epidermidis,0.1611
Streptococcus constellatus,Pseudomonas aeruginosa,0.2508
Streptococcus constellatus,Streptococcus agalactiae,0.1846
Streptococcus constellatus,Morganella morganii,0.2487
Streptococcus constellatus,Kingella kingae,0.2403
Streptococcus constellatus,Eikenella corrodens,0.2546
Streptococcus constellatus,Cardiobacterium hominis,0.2443
Streptococcus constellatus,Aggregatibacter actinomycetemcomitans,0.2608
Streptococcus constellatus,Haemophilus parainfluenzae,0.2614
Streptococcus constellatus,Enterococcus faecalis,0.1671
Streptococcus constellatus,G Streptococcus,0.1273
Streptococcus constellatus,Salmonella enterica,0.2446
Streptococcus constellatus,Shigella dysenteriae,0.2418
Streptococcus constellatus,Staphylococcus lugdunensis,0.1717
Streptococcus constellatus,Staphylococcus saprophyticus,0.1739
Streptococcus constellatus,Chlamydophila pneumoniae,0.2837
Streptococcus constellatus,Mycoplasma pneumoniae,0.2615
Streptococcus constellatus,Gardnerella vaginalis,0.249
Streptococcus constellatus,Campylobacter spp,0.2595
Streptococcus constellatus,Legionella pneumophila,0.2503
Streptococcus constellatus,Clostridium septicum,0.2042
Streptococcus constellatus,Clostridium perfringens,0.2048
Streptococcus constellatus,C. trachomatis,0.2704
Streptococcus constellatus,Prevotella bivia,0.2751
Streptococcus constellatus,Streptococcus pyogenes,0.1707
Streptococcus constellatus,Neisseria meningitidis,0.2575
Streptococcus constellatus,S. ParatyphiA,0.2446
Streptococcus constellatus,S.Typhi,0.2446
Streptococcus constellatus,Klebsiella pneumoniae,0.2427
Streptococcus constellatus,E. coli,0.2439
Streptococcus constellatus,Neisseria gonorrhoeae,0.2435
Streptococcus constellatus,Staphylococcus aureus,0.1778
Streptococcus constellatus,Brucella melitensis,0.2127
Streptococcus constellatus,Brucella abortus,0.2131
Streptococcus constellatus,Moraxella catarrhalis,0.2383
Streptococcus constellatus,Haemophilus influenzae,0.2558
Streptococcus constellatus,Streptococcus pneumoniae,0.1602
Streptococcus constellatus,V. cholerae,0.2451
Streptococcus anginosus,Streptococcus anginosus,0
Streptococcus anginosus,Enterobacter agglomerans,0.2448
Streptococcus anginosus,Enterobacter gergoviae,0.2426
Streptococcus anginosus,Mycobacterium fortuitum,0.2258
Streptococcus anginosus,M. abscessus,0.2239
Streptococcus anginosus,Staphylococcus intermedius,0.1639
Streptococcus anginosus,Streptococcus constellatus,0.1077
Streptococcus anginosus,Streptobacillus moniliformis,0.2617
Streptococcus anginosus,Spirillum minus,0.2617
Streptococcus anginosus,Capnocytophaga canimorsus,0.2557
Streptococcus anginosus,Pasteurella multocida,0.2536
Streptococcus anginosus,Ureaplasma urealyticum,0.2669
Streptococcus anginosus,Cutibacterium acnes,0.2291
Streptococcus anginosus,Listeria monocytogenes,0.1551
Streptococcus anginosus,Enterococcus faecium,0.1659
Streptococcus anginosus,Stenotrophomonas maltophilia,0.2621
Streptococcus anginosus,Enterobacter aerogenes,0.2447
Streptococcus anginosus,E. cloacae,0.2402
Streptococcus anginosus,Acinetobacter baumannii,0.2364
Streptococcus anginosus,Streptococcus hemolyticus,0.1743
Streptococcus anginosus,Proteus mirabilis,0.2434
Streptococcus anginosus,Burkholderia pseudomallei,0.2453
Streptococcus anginosus,C. difficile,0.2099
Streptococcus anginosus,Staphylococcus epidermidis,0.1611
Streptococcus anginosus,Pseudomonas aeruginosa,0.2519
Streptococcus anginosus,Streptococcus agalactiae,0.1774
Streptococcus anginosus,Morganella morganii,0.2433
Streptococcus anginosus,Kingella kingae,0.2418
Streptococcus anginosus,Eikenella corrodens,0.2539
Streptococcus anginosus,Cardiobacterium hominis,0.247
Streptococcus anginosus,Aggregatibacter actinomycetemcomitans,0.2579
Streptococcus anginosus,Haemophilus parainfluenzae,0.2606
Streptococcus anginosus,Enterococcus faecalis,0.1718
Streptococcus anginosus,G Streptococcus,0.1459
Streptococcus anginosus,Salmonella enterica,0.2464
Streptococcus anginosus,Shigella dysenteriae,0.2419
Streptococcus anginosus,Staphylococcus lugdunensis,0.1728
Streptococcus anginosus,Staphylococcus saprophyticus,0.1715
Streptococcus anginosus,Chlamydophila pneumoniae,0.28
Streptococcus anginosus,Mycoplasma pneumoniae,0.2602
Streptococcus anginosus,Gardnerella vaginalis,0.2495
Streptococcus anginosus,Campylobacter spp,0.2614
Streptococcus anginosus,Legionella pneumophila,0.2509
Streptococcus anginosus,Clostridium septicum,0.2099
Streptococcus anginosus,Clostridium perfringens,0.2055
Streptococcus anginosus,C. trachomatis,0.264
Streptococcus anginosus,Prevotella bivia,0.2736
Streptococcus anginosus,Streptococcus pyogenes,0.1743
Streptococcus anginosus,Neisseria meningitidis,0.2411
Streptococcus anginosus,S. ParatyphiA,0.2464
Streptococcus anginosus,S.Typhi,0.2464
Streptococcus anginosus,Klebsiella pneumoniae,0.2436
Streptococcus anginosus,E. coli,0.2431
Streptococcus anginosus,Neisseria gonorrhoeae,0.2441
Streptococcus anginosus,Staphylococcus aureus,0.1785
Streptococcus anginosus,Brucella melitensis,0.23
Streptococcus anginosus,Brucella abortus,0.2304
Streptococcus anginosus,Moraxella catarrhalis,0.2394
Streptococcus anginosus,Haemophilus influenzae,0.2519
Streptococcus anginosus,Streptococcus pneumoniae,0.1822
Streptococcus anginosus,V. cholerae,0.2491
Streptobacillus moniliformis,Streptobacillus moniliformis,0
Streptobacillus moniliformis,Enterobacter agglomerans,0.2858
Streptobacillus moniliformis,Enterobacter gergoviae,0.2776
Streptobacillus moniliformis,Mycobacterium fortuitum,0.2342
Streptobacillus moniliformis,M. abscessus,0.2225
Streptobacillus moniliformis,Staphylococcus intermedius,0.2445
Streptobacillus moniliformis,Streptococcus constellatus,0.1939
Streptobacillus moniliformis,Streptococcus anginosus,0.2617
Streptobacillus moniliformis,Spirillum minus,0
Streptobacillus moniliformis,Capnocytophaga canimorsus,0.2304
Streptobacillus moniliformis,Pasteurella multocida,0.2787
Streptobacillus moniliformis,Ureaplasma urealyticum,0.2834
Streptobacillus moniliformis,Cutibacterium acnes,0.2421
Streptobacillus moniliformis,Listeria monocytogenes,0.2514
Streptobacillus moniliformis,Enterococcus faecium,0.2358
Streptobacillus moniliformis,Stenotrophomonas maltophilia,0.2622
Streptobacillus moniliformis,Enterobacter aerogenes,0.2864
Streptobacillus moniliformis,E. cloacae,0.283
Streptobacillus moniliformis,Acinetobacter baumannii,0.2647
Streptobacillus moniliformis,Streptococcus hemolyticus,0.2496
Streptobacillus moniliformis,Proteus mirabilis,0.2805
Streptobacillus moniliformis,Burkholderia pseudomallei,0.2495
Streptobacillus moniliformis,C. difficile,0.2546
Streptobacillus moniliformis,Staphylococcus epidermidis,0.2485
Streptobacillus moniliformis,Pseudomonas aeruginosa,0.2667
Streptobacillus moniliformis,Streptococcus agalactiae,0.2632
Streptobacillus moniliformis,Morganella morganii,0.2866
Streptobacillus moniliformis,Kingella kingae,0.2611
Streptobacillus moniliformis,Eikenella corrodens,0.2568
Streptobacillus moniliformis,Cardiobacterium hominis,0.2534
Streptobacillus moniliformis,Aggregatibacter actinomycetemcomitans,0.2814
Streptobacillus moniliformis,Haemophilus parainfluenzae,0.2774
Streptobacillus moniliformis,Enterococcus faecalis,0.2383
Streptobacillus moniliformis,G Streptococcus,0.2183
Streptobacillus moniliformis,Salmonella enterica,0.2878
Streptobacillus moniliformis,Shigella dysenteriae,0.2826
Streptobacillus moniliformis,Staphylococcus lugdunensis,0.2494
Streptobacillus moniliformis,Staphylococcus saprophyticus,0.2477
Streptobacillus moniliformis,Chlamydophila pneumoniae,0.2903
Streptobacillus moniliformis,Mycoplasma pneumoniae,0.2855
Streptobacillus moniliformis,Gardnerella vaginalis,0.2621
Streptobacillus moniliformis,Campylobacter spp,0.2762
Streptobacillus moniliformis,Legionella pneumophila,0.2425
Streptobacillus moniliformis,Clostridium septicum,0.266
Streptobacillus moniliformis,Clostridium perfringens,0.2542
Streptobacillus moniliformis,C. trachomatis,0.2553
Streptobacillus moniliformis,Prevotella bivia,0.2321
Streptobacillus moniliformis,Streptococcus pyogenes,0.2496
Streptobacillus moniliformis,Neisseria meningitidis,0.2553
Streptobacillus moniliformis,S. ParatyphiA,0.2878
Streptobacillus moniliformis,S.Typhi,0.2878
Streptobacillus moniliformis,Klebsiella pneumoniae,0.2823
Streptobacillus moniliformis,E. coli,0.278
Streptobacillus moniliformis,Neisseria gonorrhoeae,0.2603
Streptobacillus moniliformis,Staphylococcus aureus,0.2479
Streptobacillus moniliformis,Brucella melitensis,0.2376
Streptobacillus moniliformis,Brucella abortus,0.2374
Streptobacillus moniliformis,Moraxella catarrhalis,0.2593
Streptobacillus moniliformis,Haemophilus influenzae,0.2834
Streptobacillus moniliformis,Streptococcus pneumoniae,0.2595
Streptobacillus moniliformis,V. cholerae,0.2775
Spirillum minus,Spirillum minus,0
Spirillum minus,Enterobacter agglomerans,0.2858
Spirillum minus,Enterobacter gergoviae,0.2776
Spirillum minus,Mycobacterium fortuitum,0.2342
Spirillum minus,M. abscessus,0.2225
Spirillum minus,Staphylococcus intermedius,0.2445
Spirillum minus,Streptococcus constellatus,0.1939
Spirillum minus,Streptococcus anginosus,0.2617
Spirillum minus,Streptobacillus moniliformis,0
Spirillum minus,Capnocytophaga canimorsus,0.2304
Spirillum minus,Pasteurella multocida,0.2787
Spirillum minus,Ureaplasma urealyticum,0.2834
Spirillum minus,Cutibacterium acnes,0.2421
Spirillum minus,Listeria monocytogenes,0.2514
Spirillum minus,Enterococcus faecium,0.2358
Spirillum minus,Stenotrophomonas maltophilia,0.2622
Spirillum minus,Enterobacter aerogenes,0.2864
Spirillum minus,E. cloacae,0.283
Spirillum minus,Acinetobacter baumannii,0.2647
Spirillum minus,Streptococcus hemolyticus,0.2496
Spirillum minus,Proteus mirabilis,0.2805
Spirillum minus,Burkholderia pseudomallei,0.2495
Spirillum minus,C. difficile,0.2546
Spirillum minus,Staphylococcus epidermidis,0.2485
Spirillum minus,Pseudomonas aeruginosa,0.2667
Spirillum minus,Streptococcus agalactiae,0.2632
Spirillum minus,Morganella morganii,0.2866
Spirillum minus,Kingella kingae,0.2611
